Country,Year,Artificial surfaces (including urban and associated areas): Climate altering,Cover Index: Climate altering,Grassland: Climate regulating,Herbaceous crops: Climate altering,Inland water bodies: Climate regulating,Mangroves: Climate regulating,Permanent snow and glaciers: Climate regulating,Shrub-covered areas: Climate regulating,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded: Climate regulating",Sparsely natural vegetated areas: Climate neutral,Terrestrial barren land: Climate neutral,Tree-covered areas: Climate regulating,Woody crops: Climate regulating
Afghanistan,1992,25.3207,98.59211187,24035.385,5763.3488,261.2284,0.0,317.574,3350.5526,5.8206,4275.2553,24963.0009,1263.7031,87.4339
Afghanistan,1993,25.7741,98.69931926,24035.4149,5769.1948,261.2284,0.0,317.574,3350.5468,5.8206,4275.2243,24963.0009,1263.788,81.1109
Afghanistan,1994,26.1577,98.67676926,24035.4401,5767.4886,261.2284,0.0,317.574,3350.5359,5.8206,4275.2243,24963.0009,1263.862,82.3606
Afghanistan,1995,26.6867,98.88136151,24045.9587,5778.9638,228.3898,0.0,317.574,3312.1205,5.8438,4227.8536,25088.5751,1241.1249,75.5124
Afghanistan,1996,27.2273,99.05861232,24044.9846,5788.8312,207.9674,0.0,317.574,3306.6573,5.9213,4220.793,25108.3556,1240.8172,79.4857
Afghanistan,1997,27.9248,99.17148342,24053.619,5794.7645,189.5678,0.0,317.574,3291.027,6.0066,4217.003,25131.6873,1240.3084,79.1738
Afghanistan,1998,28.9886,99.35358094,24056.196,5804.3888,185.4756,0.0,317.574,3286.1783,6.0608,4202.0137,25139.2102,1240.2216,82.3105
Afghanistan,1999,29.721,99.89566347,24193.0273,5835.4893,156.2255,0.0,317.574,3254.1849,6.0686,4192.6434,25045.9935,1241.4993,76.251
Afghanistan,2000,30.7847,100.0859101,24253.1341,5845.5927,150.2344,0.0,317.574,3210.8115,6.0763,4064.552,25188.5125,1228.1143,53.2593
Afghanistan,2001,33.1215,99.48283128,24308.3116,5807.8544,108.5681,0.0,317.574,3163.3889,6.5026,4034.3563,25318.6058,1197.5272,52.9155
Afghanistan,2002,36.2895,99.29764992,24390.1533,5793.8027,87.9132,0.0,317.574,3149.2463,6.9831,4037.1774,25287.7576,1185.1118,56.5948
Afghanistan,2003,38.1438,98.3720776,24463.6698,5737.6092,80.6898,0.0,317.574,3137.0386,6.9909,4027.1639,25264.3621,1173.5311,101.8773
Afghanistan,2004,39.0912,99.00987818,24589.0637,5774.105,68.6688,0.0,317.574,3129.1103,7.0606,4069.3107,25117.7296,1166.7084,70.1817
Afghanistan,2005,40.7363,99.45687308,24620.2911,5798.7085,68.7618,0.0,317.574,3127.0797,7.0606,4063.6374,25061.6451,1165.1447,78.0095
Afghanistan,2006,42.3813,99.30580197,24634.4792,5788.1942,68.9324,0.0,317.574,3123.4498,7.0606,4063.7614,25054.4621,1162.2131,86.1471
Afghanistan,2007,43.9275,99.48863846,24718.644,5797.3866,68.9324,0.0,317.574,3121.7858,7.0606,4064.0094,24962.2039,1160.8874,86.2839
Afghanistan,2008,45.34,99.70591395,24755.8129,5808.7238,63.4683,0.0,317.574,3121.5281,7.0606,4064.0249,24917.9679,1160.6623,86.4527
Afghanistan,2009,46.4328,99.97613062,24772.9812,5823.5028,63.6543,0.0,317.574,3123.685,7.0606,4067.2879,24876.0912,1162.9858,87.431
Afghanistan,2010,47.7814,100.1006561,24771.2111,5829.459,63.7783,0.0,317.574,3122.7693,7.0606,4061.6533,24876.7889,1162.2709,88.2685
Afghanistan,2011,49.0835,100.1281572,24798.4584,5829.7738,63.9333,0.0,317.574,3122.5228,7.0606,4065.699,24843.1649,1162.3251,89.0442
Afghanistan,2012,50.9262,100.2172563,24799.2613,5833.1621,64.0728,0.0,317.574,3122.5062,7.0606,4065.1875,24837.1619,1161.8675,89.8562
Afghanistan,2013,54.3208,100.2168806,24797.694,5829.7454,64.0728,0.0,317.574,3121.7323,7.0606,4064.459,24835.7069,1162.6646,93.6054
Afghanistan,2014,57.7679,100.0582165,24762.1424,5816.9845,64.2821,0.0,317.574,3121.4142,7.0606,4072.2172,24859.7449,1165.4203,104.0485
Afghanistan,2015,60.715,100.0,24761.9005,5810.6204,64.2821,0.0,317.574,3121.3161,7.0606,4072.1396,24858.5829,1165.9725,108.5048
Afghanistan,2016,60.715,98.93834967,24769.7195,5748.2839,64.3053,0.0,317.574,3121.0324,7.0606,4092.0273,24865.9751,1167.3222,134.615
Afghanistan,2017,68.9052,98.41350069,24749.0732,5709.2877,64.3053,0.0,317.574,3120.6461,7.0606,4108.5589,24877.0596,1169.7973,156.4696
Afghanistan,2018,69.4807,98.25029242,24665.3565,5699.1196,64.3053,0.0,317.574,3120.412,7.0606,4199.2778,24876.8846,1171.2106,157.9433
Afghanistan,2019,73.4567,98.49122358,24677.6405,5709.2968,64.6076,0.0,317.574,3122.3345,7.0606,4229.923,24802.2614,1181.8058,162.7457
Afghanistan,2020,73.416,98.47842649,24681.8527,5708.6065,64.5999,0.0,317.5895,3122.6542,7.0374,4256.569,24770.0776,1183.8043,162.7261
Argentina,1992,306.7195,92.39837696,14600.6927,49504.8159,4362.5561,0.0,685.9211,95921.2133,8501.9618,46863.3095,12508.7,43495.5711,1885.1937
Argentina,1993,314.4448,92.41669724,14600.952,49506.9671,4362.5406,0.0,685.9211,95918.1708,8501.8533,46863.0095,12508.5,43496.3822,1877.914
Argentina,1994,322.3676,92.43438042,14601.1822,49508.5708,4362.5019,0.0,685.9211,95915.2082,8501.8145,46862.8095,12508.5,43497.2814,1870.4623
Argentina,1995,328.5118,92.86045591,14624.6879,49732.1209,4390.3569,0.0,685.9211,95996.7053,8491.7855,46768.7827,12616.0,43130.2509,1871.491
Argentina,1996,334.4176,93.16432477,14626.204,49890.0305,4427.8225,0.0,685.9211,95967.4843,8485.5541,46788.2315,12639.9,42921.0036,1870.0511
Argentina,1997,339.841,93.63076598,14650.0542,50136.0891,4458.3592,0.0,685.9211,95974.114,8495.3739,46786.1855,12654.4,42593.7549,1862.6695
Argentina,1998,345.4039,94.34920366,14684.472,50517.805,4498.3127,0.0,685.9211,96056.427,8542.3028,46789.0437,12669.0,41978.2568,1869.6653
Argentina,1999,350.7924,95.48118951,14772.4386,51122.6842,4519.6729,0.0,685.9211,96174.7782,8624.2171,46712.446,12772.3,41044.6193,1856.846
Argentina,2000,356.5994,95.91096906,14798.9601,51348.5723,4536.8091,0.0,685.9211,96264.8125,8818.1485,46743.4629,12774.4,40451.2824,1857.7631
Argentina,2001,364.1619,96.7049428,14874.4297,51769.0597,4533.3989,0.0,685.9211,96284.0523,8973.1261,46707.5274,12804.3,39775.0525,1865.8206
Argentina,2002,367.9751,97.09285888,14888.1021,51974.3197,4486.8498,0.0,685.9211,96380.9422,9031.4326,46646.0786,12891.5,39418.0395,1865.4196
Argentina,2003,370.37,97.83440397,14936.5385,52371.7183,4461.2114,0.0,685.9211,96629.0696,9107.6582,46618.3561,12927.5,38772.6174,1755.7787
Argentina,2004,372.4044,98.56873577,15009.0572,52765.5305,4362.4786,0.0,685.9211,97055.5404,9129.7856,46638.8293,12909.8,38047.6577,1659.5857
Argentina,2005,382.3793,99.06156873,15050.1296,53021.2436,4324.796,0.0,685.9211,97284.2917,9148.9215,46644.8486,12913.4,37611.6147,1569.0658
Argentina,2006,396.5335,99.37920855,15060.8625,53178.3435,4250.4074,0.0,685.9211,97479.3594,9189.123,46687.9363,12918.7,37294.9999,1494.5084
Argentina,2007,408.2289,99.6244665,15077.2359,53298.8538,4238.2082,0.0,685.9211,97756.5522,9224.1627,46716.6128,12911.3,36878.4608,1441.0977
Argentina,2008,417.727,99.69601277,15086.252,53327.9422,4193.5424,0.0,685.9211,98123.6621,9293.7306,46800.4994,12875.8,36335.1915,1496.45
Argentina,2009,426.5974,99.6930462,15105.9424,53317.4594,4122.967,0.0,685.9211,98238.4333,9317.8732,46850.2557,12868.1,36157.2504,1545.8503
Argentina,2010,435.7759,100.0316389,15125.7094,53490.833,4108.1714,0.0,685.9211,98438.9126,9256.1797,46866.341,12882.5,35938.8623,1407.5387
Argentina,2011,446.2796,100.1392257,15119.8746,53538.3071,4091.5157,0.0,685.9211,98569.9252,9266.2708,46918.578,12860.2,35753.7093,1386.0512
Argentina,2012,460.4397,100.2403105,15117.433,53578.6723,4081.0992,0.0,685.9211,98721.8497,9269.1849,46954.3376,12833.5,35582.1399,1352.2148
Argentina,2013,493.1601,100.229196,15118.1173,53539.9594,4076.0614,0.0,685.9211,98766.7692,9255.2574,46956.7196,12835.0,35550.6409,1359.1823
Argentina,2014,509.7441,100.0909809,15120.7544,53448.8695,4081.8509,0.0,685.9211,98737.5581,9219.9387,46974.2404,12815.4,35637.4572,1405.0813
Argentina,2015,515.0454,100.0,15120.8352,53394.499,4081.7967,0.0,685.9211,98735.9947,9219.8612,46974.1094,12815.3,35637.9775,1455.3629
Argentina,2016,515.0454,99.75795039,15117.7912,53263.9995,4091.1747,0.0,685.9211,98487.6184,9224.0387,46984.7184,12797.8,35961.1987,1507.3366
Argentina,2017,530.4087,99.64822615,15120.4557,53189.4698,4105.8308,0.0,685.9211,98442.5733,9212.2813,46991.8189,12784.2,36008.5162,1565.0913
Argentina,2018,537.4015,99.3808785,15155.8502,53038.343,4111.5274,0.0,685.9211,98533.9232,9219.6519,47077.2266,12688.6,35852.2484,1735.8313
Argentina,2019,548.9283,99.40708057,15198.7715,53040.9753,4118.9833,0.0,685.9211,98563.0175,9202.9265,47374.9511,12351.7,35814.6077,1735.9175
Argentina,2020,549.248,99.38673529,15218.8764,53029.4221,4100.111,0.0,685.6343,98587.4471,9202.5777,47462.2541,12249.6,35814.6092,1735.5394
Australia,1992,576.0742,94.78523094,128486.3963,50527.7302,1490.6253,2526.3545,0.0,184454.5202,10077.1,279546.0,36965.3,76753.5388,554.2916
Australia,1993,591.6003,94.81757535,128486.8218,50529.7077,1490.4471,2525.843,0.0,184444.5572,10077.0,279546.0,36965.1,76752.5673,549.2681
Australia,1994,606.3358,94.80811731,128486.3169,50509.8202,1490.3076,2525.1842,0.0,184434.4377,10076.9,279546.0,36965.1,76751.5565,566.1584
Australia,1995,620.3447,95.03118515,128170.5512,50616.0924,1505.2504,2527.9046,0.0,184518.9357,10054.2,280008.0,36960.7,76366.0705,610.2671
Australia,1996,633.6735,95.15167992,127843.7158,50667.7198,1527.5096,2536.6161,0.0,184247.0495,10044.7,280399.0,36938.1,76549.8767,570.2197
Australia,1997,645.5084,95.36137261,127860.0314,50768.9082,1553.4271,2541.1656,0.0,183993.1892,10031.0,280489.0,36897.9,76621.3853,556.1653
Australia,1998,656.3551,95.67853501,127585.8495,50929.0947,1572.7334,2546.6219,0.0,183598.455,10023.5,280911.0,36920.0,76630.1473,584.4322
Australia,1999,667.167,96.66053858,127772.333,51447.6813,1594.5276,2555.8061,0.0,182821.4136,10004.0,281225.0,36774.0,76491.3742,604.1086
Australia,2000,679.4146,97.72889303,128513.0595,52011.5243,1615.6243,2557.519,0.0,181970.872,9993.1917,280993.0,36687.0,76281.556,655.8774
Australia,2001,731.9684,98.36799706,128584.3352,52303.5208,1581.3054,2558.5188,0.0,181480.7301,10011.8,281863.0,36465.1,75686.3751,691.6168
Australia,2002,758.1726,98.81389621,128811.2483,52517.6941,1523.4949,2560.8672,0.0,180969.482,10014.3,281996.0,36441.3,75646.1483,719.1174
Australia,2003,773.7103,99.1705391,129197.9147,52694.4701,1458.7323,2567.6953,0.0,180434.9609,10021.6,281882.0,36526.7,75640.8709,759.5804
Australia,2004,785.4289,99.39420258,130038.612,52803.3522,1450.0053,2572.6478,0.0,180230.4294,10025.1,280929.0,36674.3,75758.282,691.2454
Australia,2005,813.9408,99.44892136,129792.8594,52804.3362,1430.0557,2578.0809,0.0,180019.7458,10027.4,281425.0,36548.7,75838.1943,680.0043
Australia,2006,828.9786,99.35000241,129589.9043,52735.9286,1413.3535,2589.9468,0.0,179813.678,10029.4,281802.0,36474.6,75946.4588,733.5318
Australia,2007,841.0809,99.04532126,129457.6863,52559.5665,1406.3316,2592.9385,0.0,179788.6768,10030.8,282267.0,36136.6,75956.7435,920.5027
Australia,2008,847.1146,99.21449084,129259.4274,52644.7475,1392.2026,2598.635,0.0,179830.9583,10035.7,282595.0,35947.0,75973.7049,833.5274
Australia,2009,855.0549,99.46403597,129311.1113,52771.4195,1387.9553,2605.0214,0.0,179767.775,10041.0,282689.0,35733.4,76079.0507,718.2245
Australia,2010,862.9429,98.85843092,129093.2219,52437.0118,1405.1923,2605.4012,0.0,180027.6229,10044.1,283390.0,35165.3,75861.283,1066.8633
Australia,2011,869.8369,99.73980783,129173.9748,52905.2724,1426.2812,2603.6186,0.0,180131.5131,10050.5,284141.0,34316.5,75700.344,639.4723
Australia,2012,873.4176,99.83484818,129376.3272,52952.9449,1433.3186,2602.9985,0.0,180152.8452,10050.4,284361.0,33877.0,75683.047,595.1838
Australia,2013,879.091,99.7175924,129804.8662,52884.0273,1437.0078,2602.735,0.0,180124.4113,10050.1,283905.0,33879.9,75730.0327,660.9487
Australia,2014,886.1245,99.89555586,130532.8466,52972.9749,1437.0078,2600.7974,0.0,180218.8797,10057.4,283143.0,33840.2,75694.6975,574.642
Australia,2015,891.9431,100.0,130533.1966,53023.4701,1436.8993,2600.7121,0.0,180215.9403,10057.4,283143.0,33840.0,75693.6643,522.3777
Australia,2016,900.5054,99.97315901,131040.7242,53000.4313,1439.1857,2597.0462,0.0,180246.1678,10059.3,282671.0,33704.1,75734.0411,566.0292
Australia,2017,910.1082,100.0244197,131698.6319,53018.3767,1439.7282,2597.2942,0.0,180237.2076,10060.5,282041.0,33620.7,75778.5589,555.1482
Australia,2018,916.7755,100.0066865,138114.3945,53002.1892,1439.2865,2598.4645,0.0,180193.6771,10063.3,275684.0,33379.6,75998.0365,568.1128
Australia,2019,931.0576,99.96384322,139535.6727,52964.8662,1434.0084,2600.1696,0.0,179879.9484,10058.4,274191.0,33148.4,76614.0025,601.1451
Australia,2020,930.9995,99.99742682,140993.7049,52982.948,1432.9854,2601.1307,0.0,179996.4271,10056.5,272552.0,33011.5,76797.9356,601.3503
Bangladesh,1992,15.7586,105.1946596,954.4662,9365.2391,1221.3443,422.5614,0.0,881.9927,35.9698,0.589,7.1304,763.9842,369.8666
Bangladesh,1993,16.1073,105.1462707,954.4511,9360.5752,1221.3365,422.5614,0.0,881.9815,35.9698,0.589,7.1304,764.0412,374.1589
Bangladesh,1994,16.3457,104.9793276,954.4345,9345.4493,1221.3365,422.5614,0.0,881.9776,35.9698,0.589,7.1304,764.085,389.0232
Bangladesh,1995,16.5084,105.4577251,919.587,9387.9489,1217.5543,411.4162,0.0,865.9292,36.0318,0.589,7.4482,762.5694,413.32
Bangladesh,1996,16.7119,105.4831572,916.5337,9390.0135,1217.3916,413.5244,0.0,860.3411,35.9233,0.5968,7.5567,764.5737,415.7359
Bangladesh,1997,16.8921,105.5557678,912.0268,9396.3084,1219.2129,413.8421,0.0,850.5384,35.9078,0.6278,7.6187,765.9494,419.978
Bangladesh,1998,17.0374,105.5364333,906.529,9394.4389,1222.0186,414.0359,0.0,848.5938,35.8148,0.6355,7.7892,769.7374,422.2719
Bangladesh,1999,17.1595,104.7436408,903.5726,9323.6174,1218.4534,414.2374,0.0,833.8063,35.6442,0.6665,8.7192,785.6777,497.348
Bangladesh,2000,17.4036,104.4924104,899.3235,9300.9692,1223.2431,414.9504,0.0,826.9127,35.3265,0.6975,9.0215,809.8044,501.2498
Bangladesh,2001,20.2984,104.1658015,887.8478,9268.9483,1213.7256,415.8262,0.0,826.6891,35.3575,0.7518,9.4788,801.8102,558.1686
Bangladesh,2002,22.6816,104.1943517,882.9856,9269.1112,1213.1753,415.958,0.0,823.9013,35.373,0.7518,9.8586,803.5459,561.5601
Bangladesh,2003,25.4195,104.2757777,878.0954,9273.6346,1213.8341,415.8262,0.0,820.3582,35.249,0.7673,10.6181,801.5587,563.5412
Bangladesh,2004,28.4363,103.2845247,878.0687,9182.2204,1211.6795,416.0045,0.0,811.7056,35.3652,0.9843,11.9202,808.4973,654.0204
Bangladesh,2005,32.1333,100.5912915,879.1859,8938.3475,1202.2007,415.9038,0.0,809.7668,35.5047,1.0618,13.5788,807.3285,903.8905
Bangladesh,2006,35.7489,100.6498941,880.4066,8939.958,1193.4737,416.3223,0.0,810.1148,35.7295,1.1161,16.0201,802.4024,907.61
Bangladesh,2007,39.1029,100.0600481,884.5775,8884.003,1184.5762,416.6865,0.0,808.7364,36.2488,1.1626,18.0585,799.6033,966.1467
Bangladesh,2008,42.3232,100.0710747,885.7935,8881.7659,1180.4375,417.1903,0.0,809.1111,36.427,1.2013,19.5698,797.57,967.5126
Bangladesh,2009,45.9736,100.0985704,888.4488,8880.5675,1174.1906,417.1671,0.0,807.6773,36.4735,1.2788,21.7012,797.1731,968.2507
Bangladesh,2010,49.1649,100.1126185,891.3797,8878.6291,1166.6495,417.1671,0.0,806.2059,36.613,1.3098,26.243,796.8798,968.6606
Bangladesh,2011,52.2631,99.77497353,894.3016,8845.4205,1164.7429,417.5468,0.0,809.0724,36.5123,1.3718,28.2193,810.2113,979.2403
Bangladesh,2012,56.7913,99.74342073,896.6887,8838.0785,1159.1083,418.0119,0.0,807.9672,36.5045,1.4493,30.9862,813.8683,979.4481
Bangladesh,2013,64.9176,99.95602662,897.7005,8848.9118,1158.7905,417.9034,0.0,808.319,36.4658,1.4648,31.552,816.3,956.5768
Bangladesh,2014,77.392,99.92205699,897.7986,8833.4082,1159.5888,417.7794,0.0,808.2047,36.2798,1.4648,31.9628,819.0018,956.0215
Bangladesh,2015,82.1352,100.0,898.0109,8835.6157,1159.4881,417.7639,0.0,808.0609,36.2798,1.4648,31.9628,819.6808,948.4394
Bangladesh,2016,82.1527,99.93466891,899.5265,8829.7722,1163.7818,419.1977,0.0,804.8875,36.179,1.4648,33.1564,824.8744,943.9094
Bangladesh,2017,82.6816,99.8747808,900.4655,8823.9025,1163.0378,419.3914,0.0,805.3921,36.3185,1.4648,33.5516,828.5779,944.1185
Bangladesh,2018,83.0478,99.78525527,902.0644,8815.5527,1162.875,420.0657,0.0,805.9238,36.2953,1.4726,34.1562,836.0404,941.4084
Bangladesh,2019,83.0769,99.84002958,905.9888,8820.4083,1161.5884,420.4378,0.0,802.1571,36.0008,1.4726,34.6909,854.1729,918.9079
Bangladesh,2020,85.9426,99.74522045,909.0402,8809.0927,1161.3094,419.9262,0.0,802.6659,35.8923,1.4881,34.9002,860.9236,917.729
Brazil,1992,998.7828,84.8364866,63033.6838,122419.8193,10471.2,652.6175,0.0,148715.2553,12777.9,179.9883,451.7495,470206.6405,23882.6243
Brazil,1993,1029.428,85.22373923,63205.0298,122952.3534,11094.9,647.913,0.0,149064.1536,13049.2,176.6944,451.8658,467962.3248,24155.0977
Brazil,1994,1056.1787,85.13356168,63205.3783,122794.4808,11094.7,647.913,0.0,149052.674,13048.9,173.726,451.703,467966.0004,24297.7653
Brazil,1995,1086.0101,88.46667956,64063.8521,127613.6137,11412.5,648.8818,0.0,148974.4739,13181.9,168.7502,448.5098,463578.3448,22612.6418
Brazil,1996,1116.4809,88.92926264,64419.3663,128256.1556,11708.0,648.4167,0.0,148765.5812,13234.7,165.557,449.3856,461485.817,23540.3857
Brazil,1997,1145.3183,89.25288895,64868.076,128697.9842,11942.7,646.5644,0.0,148506.336,13290.1,162.8134,446.487,459665.936,24416.6132
Brazil,1998,1175.6555,89.91455347,65439.2957,129630.3389,12233.7,643.193,0.0,148481.1895,13263.8,160.4262,445.2314,456943.3258,25373.5277
Brazil,1999,1207.2017,91.15579438,66378.358,131404.4755,12519.5,640.4416,0.0,148091.802,13344.2,159.5349,443.503,453109.1774,26491.161
Brazil,2000,1240.0209,91.01607699,66726.5522,131168.3943,12594.8,640.8368,0.0,147555.4015,13371.1,158.5816,437.2329,452703.3849,27193.0252
Brazil,2001,1310.3851,91.11836713,67034.3352,131246.9261,12664.6,640.5346,0.0,147527.6114,13359.9,154.1949,382.3211,451528.6674,27940.4103
Brazil,2002,1372.5591,91.13034629,67305.4521,131202.0476,12764.4,640.5191,0.0,147412.2597,13360.4,144.9486,369.0911,450573.7489,28643.6126
Brazil,2003,1413.8941,91.28628424,67590.7821,131387.7229,12753.1,640.6276,0.0,147646.713,13391.8,143.1815,367.3705,449074.3881,29380.4548
Brazil,2004,1478.8466,94.01580992,69383.1955,135293.5364,13313.7,616.9655,0.0,149378.1869,13953.5,141.7012,367.6961,438908.556,30953.5384
Brazil,2005,1530.9411,93.70344691,69462.1078,134786.9014,13293.1,617.4615,0.0,149366.0308,13969.4,140.7789,369.0446,438734.857,31518.0427
Brazil,2006,1577.5484,93.37330594,69547.3871,134260.1638,13272.5,619.2984,0.0,149493.4845,13988.5,141.1586,369.2616,438463.5567,32056.7619
Brazil,2007,1615.977,94.09443453,69631.9239,135270.7277,13261.8,619.7479,0.0,149431.3707,14013.7,141.4609,369.1686,438516.1776,30916.9949
Brazil,2008,1647.8545,94.84977529,69731.4202,136337.6848,13257.3,619.6859,0.0,149478.929,14037.6,141.7167,370.0754,438359.8632,29806.7954
Brazil,2009,1679.1682,95.61740202,69785.5798,137423.3062,13261.3,620.7322,0.0,149444.6686,14049.8,143.3908,370.0987,438302.6914,28709.4611
Brazil,2010,1710.5516,96.32487717,69831.86,138420.9873,13253.6,620.7322,0.0,149494.1219,14037.8,146.7545,370.0987,438296.6229,27606.1076
Brazil,2011,1741.2259,97.09931525,69867.4616,139516.9249,13289.6,619.7556,0.0,149763.7142,14035.9,146.6537,370.1839,437900.2984,26537.365
Brazil,2012,1785.072,97.85694634,69883.2602,140575.4373,13295.8,619.2674,0.0,149764.0648,14037.6,148.6688,370.2072,437841.6177,25469.1186
Brazil,2013,1854.7213,98.60961899,69904.0928,141600.628,13299.7,619.1279,0.0,149861.2854,14036.6,149.1803,369.8042,437685.13,24409.0435
Brazil,2014,1906.624,99.2810534,69899.3038,142525.6264,13327.9,618.6241,0.0,149799.2679,14020.2,149.0796,368.8121,437834.1283,23340.4059
Brazil,2015,1929.5731,100.0,69898.3954,143548.5956,13327.7,618.5853,0.0,149794.7883,14019.9,148.7928,368.5719,437835.82,22299.2967
Brazil,2016,1929.6777,100.7061148,69864.2001,144575.6212,13332.2,619.7866,0.0,149381.2686,13957.7,157.357,373.8266,438325.6531,21272.0714
Brazil,2017,1975.5002,101.4239096,69827.3522,145573.988,13340.3,620.0889,0.0,149203.3034,13967.4,157.1245,373.0594,438503.4581,20247.5294
Brazil,2018,1989.9334,101.4673986,69766.8908,145622.9802,13327.8,620.8562,0.0,149023.4479,13999.3,159.7519,372.7261,438651.4687,20254.8659
Brazil,2019,2035.7966,101.437545,69630.953,145533.63,13340.1,622.5148,0.0,148733.8405,14007.4,164.3634,372.4316,439106.226,20242.4381
Brazil,2020,2036.3779,101.3826055,69542.6365,145457.9016,13361.4,622.197,0.0,148543.8792,14019.7,164.4642,371.7573,439465.1335,20231.905
Canada,1992,544.0281,98.38632487,159004.7822,51881.9421,102942.0,0.0,18314.8,52336.3537,11967.9,109590.632,39381.6691,436976.1059,154.6425
Canada,1993,558.8682,98.36458751,159005.42,51855.4769,102942.0,0.0,18314.8,52333.6886,11967.5,109589.632,39380.9691,436975.8528,169.8571
Canada,1994,573.2492,98.34274331,159006.1579,51829.4889,102942.0,0.0,18314.8,52331.2962,11967.4,109589.632,39380.1691,436975.3915,185.0963
Canada,1995,587.0604,98.69251802,158872.5505,52002.0583,103050.0,0.0,18314.8,52166.6951,11679.8,109042.6475,39373.5561,437804.3914,201.1269
Canada,1996,600.7729,98.65745389,158937.4284,51969.7311,103328.0,0.0,18314.8,52035.953,11562.3,108838.6398,39391.5638,437899.3695,217.4276
Canada,1997,612.6427,98.71886978,158970.4142,51990.4854,103541.0,0.0,18314.8,51946.7059,11456.6,108610.6398,39403.3793,438032.0384,215.3759
Canada,1998,624.9833,98.89342989,159034.6806,52071.1157,103700.0,0.0,18314.8,52015.1487,11265.9,108358.6553,39414.7646,438078.6409,214.5561
Canada,1999,637.5041,99.09343663,159152.433,52165.2278,103825.0,0.0,18314.8,52135.8661,11077.8,107783.7871,39423.0226,438365.0944,213.7867
Canada,2000,650.8562,99.39018368,159391.1551,52309.9795,103919.0,0.0,18314.8,52330.2124,10456.2,107274.8413,39454.7924,438778.8908,213.2183
Canada,2001,701.0383,99.52149414,159283.3066,52329.7936,103646.0,0.0,18314.8,52393.0697,9536.1796,106742.8568,39467.8706,440468.6572,210.8629
Canada,2002,735.2584,99.63486171,159252.6658,52355.9749,103512.0,0.0,18314.8,52453.2808,9135.4977,106585.8568,39469.9188,441066.3464,212.6982
Canada,2003,762.0265,99.71260518,159209.3645,52370.6792,103391.0,0.0,18314.8,52649.9758,8793.3781,106508.0351,39480.6638,441400.7124,214.5167
Canada,2004,786.0334,99.84787803,159257.4812,52418.6829,103257.0,0.0,18314.8,52852.3094,8387.7747,106201.0661,39481.5686,441920.6266,216.5031
Canada,2005,796.1303,99.86264982,159138.7077,52416.4918,103224.0,0.0,18314.8,52817.539,8213.4442,106012.0893,39502.2376,442440.7304,218.3138
Canada,2006,807.4886,99.84911829,159113.7974,52397.9337,103262.0,0.0,18314.8,52869.0797,8072.2235,105790.0893,39516.129,442730.185,220.9535
Canada,2007,816.5624,99.83545777,159130.0648,52381.6307,103219.0,0.0,18314.8,53056.0251,7960.5863,105556.0971,39545.5035,442889.0152,226.3171
Canada,2008,828.2113,99.85907671,159112.3806,52382.5431,103252.0,0.0,18314.8,53322.5316,7856.3507,105363.0816,39581.0563,442849.448,232.7508
Canada,2009,833.9776,99.87572534,159127.2758,52385.6089,103271.0,0.0,18314.8,53412.2748,7783.1246,105117.0816,39609.668,443000.2881,239.3293
Canada,2010,839.1394,99.91035971,159279.2846,52398.8897,103339.0,0.0,18314.8,53875.7429,7788.2709,105349.0971,39645.482,442018.3938,246.0956
Canada,2011,844.0164,99.93643518,159408.753,52407.9584,103426.0,0.0,18314.8,54358.34,7785.0545,105485.0816,39654.5255,441159.4299,251.1815
Canada,2012,849.9455,99.96723148,159506.8499,52418.4604,103555.0,0.0,18314.8,54699.8456,7789.4567,105612.0971,39665.4172,440433.6725,249.9841
Canada,2013,854.8805,99.97403526,159530.3387,52417.0962,103682.0,0.0,18314.8,54831.7305,7780.846,105660.1591,39679.0939,440095.2453,248.3302
Canada,2014,860.5132,99.98606354,159597.3124,52417.8937,103682.0,0.0,18314.8,54982.0619,7787.3176,105855.1591,39731.7939,439619.3449,246.7081
Canada,2015,863.9253,100.0,159660.9421,52421.9524,103682.0,0.0,18314.8,55089.0553,7790.5495,105994.1591,39812.9939,439220.2348,245.116
Canada,2016,896.9421,100.0743145,159706.0994,52428.5142,103723.0,0.0,18314.8,55518.6641,7812.3825,106084.1591,39785.3621,438583.2187,242.208
Canada,2017,911.2533,100.1268806,159707.9083,52442.149,103736.0,0.0,18314.8,55614.8611,7829.4955,106008.1203,39773.1843,438520.7996,235.5941
Canada,2018,919.3448,100.2843594,159979.7761,52518.0201,103713.0,0.0,18314.8,56200.758,7977.9007,106062.0583,39814.2455,437364.3998,230.7589
Canada,2019,938.6782,100.3607914,160353.6436,52539.4185,103930.0,0.0,18314.8,57208.4761,8123.6476,106000.9731,39878.3599,435580.1198,227.0255
Canada,2020,938.3585,100.4077158,160408.4405,52564.4875,104025.0,0.0,18314.4,57259.4054,8142.6517,105851.8956,39872.9078,435485.7803,227.1339
China, P.R.: Mainland,1992,2566.6354,101.9764413,290056.4171,204110.669,12331.3,123.0924,6286.2292,25587.6692,3088.7259,21593.348,172421.2307,185315.4876,12954.1352
China, P.R.: Mainland,1993,2652.02,101.214934,290028.7193,202482.0723,12329.5,123.0924,6286.2292,25583.8664,3088.1369,21592.148,172419.2307,185327.9739,14522.6218
